utterance_id,utterance,gold_positive,pred_positive,gold_negative,pred_negative,gold_correction,pred_correction,schema_valid,forbidden,conflict,primary_cause,secondary_causes,linguistic_patterns,review_notes
case-hard-corr-19-dev-019,hayır e-bike değil normal bisiklet,bisiklet,bisiklet,,e-bike,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-corr-21-dev-021,"hayır tv değil ekranlı bir cihaz kastettim, laptop olabilir",laptop,laptop,televizyon,tv,True,False,True,False,False,MODEL_CORR_MISS,MODEL_NEG_MISS|MODEL_OVER_EXTRACT,CORRECTION_X_NOT_Y,
case-hard-corr-23-dev-023,"aslında iphone değil android olacaktı, telefon",telefon,telefon,,iphone,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-corr-24-dev-024,hayır oyun konsolu dedim tv kastediyordum,televizyon,televizyon,oyun konsolu,oyun konsolu,True,False,True,False,False,MODEL_CORR_MISS,,,
case-hard-corr-27-dev-027,hayır ipad değil galaksi tab olacaktı yani tablet,tablet,tablet,,ipad,False,False,True,False,False,MODEL_OVER_EXTRACT,,CORRECTION_X_NOT_Y,
case-hard-corr-29-dev-029,aslında bulaşık değil çamaşır makinesi lazım,beyaz eşya,makine,,bulaşık,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,CORRECTION_X_NOT_Y,
case-hard-corr-31-dev-031,özür dilerim uçak bileti dedim ama tv arıyorum,televizyon,televizyon,,,False,False,True,False,False,,,,
case-hard-corr-33-dev-033,özür dilerim hoparlör istedim aslında amaç kulaklık,kulaklık,kulaklık,,hoparlör,False,True,True,False,False,MODEL_OVER_EXTRACT,,,
case-hard-alias-01-dev-001,laptop,laptop,laptop,,,False,False,True,False,False,,,,
case-hard-alias-02-dev-002,iphone,telefon,iphone,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-03-dev-003,macbook,laptop,laptop,,,False,False,True,False,False,,,,
case-hard-alias-04-val-004,ipad,tablet,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-05-dev-005,playstation,oyun konsolu,konsol,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-06-dev-006,xbox,oyun konsolu,konsol,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-07-dev-007,smart tv,televizyon,televizyon,,,False,False,True,False,False,,,,
case-hard-alias-08-val-008,kahve makinesi,kahve makinesi,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-09-dev-009,airfryer,kahve makinesi,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-10-dev-010,robot süpürge,süpürge,süpürge,,,False,False,True,False,False,,,,
case-hard-alias-11-dev-011,kablosuz kulaklık,kulaklık,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-12-val-012,bluetooth kulaklık,kulaklık,kulaklık,,,False,False,True,False,False,,,,
case-hard-alias-13-dev-013,blender,kahve makinesi,blender,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-14-dev-014,gopro,kamera,gopro,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-15-dev-015,apple watch,akıllı saat,akıllı saat,,,False,False,True,False,False,,,,
case-hard-alias-16-val-016,inverter klima,klima,klima,,,False,False,True,False,False,,,,
case-hard-alias-17-dev-017,dizüstü,laptop,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-18-dev-018,notebook,laptop,notebook,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-19-dev-019,beyaz eşya,beyaz eşya,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-20-val-020,hoparlör,kulaklık,kulaklık,,,False,False,True,False,False,,,,
case-hard-alias-21-dev-021,kanepe,mobilya,kanepe,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-22-dev-022,gardırop,mobilya,gardırop,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-23-dev-023,bulaşık makinesi,beyaz eşya,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-24-val-024,çamaşır makinesi,beyaz eşya,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-25-dev-025,dslr,kamera,dslr,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-26-dev-026,smartwatch,akıllı saat,akıllı saat,,,False,False,True,False,False,,,,
case-hard-alias-27-dev-027,nintendo,oyun konsolu,nintendo,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-28-val-028,tv,televizyon,televizyon,,,False,False,True,False,False,,,,
case-hard-alias-29-dev-029,aynasız kamera,kamera,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-30-dev-030,aksiyon kamerası,kamera,kamera,,,False,False,True,False,False,,,,
case-hard-alias-31-dev-031,bluetooth hoparlör,kulaklık,bluetooth,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-32-val-032,dikey süpürge,süpürge,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-alias-33-dev-033,hava fritözü,kahve makinesi,hava fritözü,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-alias-34-dev-034,cep telefonu,telefon,telefon,,,False,False,True,False,False,,,,
case-hard-pc-01-dev-001,bilgisayar bakıyorum işlerim için dizüstü olabilir,laptop,laptop,,,False,False,True,False,False,,,,
case-hard-pc-03-dev-003,yeni bir dizüstü bilgisayar arıyorum,laptop,laptop,,,False,False,True,False,False,,,,
case-hard-pc-05-dev-005,kod yazacağım için taşınabilir bilgisayar lazım,laptop,laptop,,,False,False,True,False,False,,,,
case-hard-pc-07-dev-007,bir bilgisayar bakıyorum daha karar veremedim,laptop|masaüstü,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-pc-09-dev-009,kompüter bakıyorum türü fark etmez,laptop|masaüstü,laptop,,,False,False,True,False,False,MODEL_POS_MISS,,,
case-hard-pc-11-dev-011,dizüstü ya da masaüstü fark etmez,laptop|masaüstü,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-pc-13-dev-013,laptop veya masaüstü olabilir,laptop|masaüstü,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-pc-15-dev-015,işyerine masaüstü bilgisayar,masaüstü,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,CORRECTION_RETRACTION,
case-hard-pc-17-dev-017,evde oyun oynayacağım kasa toplayayım,masaüstü,gaming pc,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-pc-19-dev-019,stüdyo işi için masaüstü,masaüstü,masaüstü,,,False,False,True,False,False,,,,
case-hard-pc-21-dev-021,2 tane bilgisayar almam gerek karar veremedim,laptop|masaüstü,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-pc-23-dev-023,ultrabook lazım,laptop,ultrabook,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-pc-25-dev-025,masaüstü toplama seti,masaüstü,masaüstü,,,False,False,True,False,False,,,,
case-hard-pc-27-dev-027,ergonomik dizüstü tavsiye,laptop,laptop,,,False,False,True,False,False,,,SLANG,
case-hard-pc-29-dev-029,"dizüstü, çevirme ekran olabilir",laptop,laptop,,,False,False,True,False,False,,,,
case-hard-sib-03-dev-003,kulaklık mı hoparlör mü almalıyım,kulaklık,kulaklık,,,False,False,True,False,False,,,,
case-hard-sib-06-dev-006,dizüstü mü masaüstü mü almalıyım,laptop|masaüstü,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-sib-09-dev-009,split klima mı inverter mi,klima,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-sib-12-dev-012,playstation mı xbox mu,oyun konsolu,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-sib-15-dev-015,tablet mi laptop mı öğrenci için,tablet|laptop,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-sib-17-dev-017,ses sistemi mi kulaklık mı,kulaklık,kulaklık,,ses sistemi,False,False,True,False,False,MODEL_OVER_EXTRACT,,,
case-hard-sib-19-dev-019,mobilya mı airfryer mı önce,mobilya|kahve makinesi,mobilya,,,False,False,True,False,False,MODEL_POS_MISS,,,
case-hard-sib-21-dev-021,smartwatch mı akıllı bileklik mi,akıllı saat,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-sib-23-dev-023,saatli tv mi projektör mü,televizyon,televizyon,,,False,False,True,False,False,,,,
case-hard-sib-25-dev-025,hoparlör seti mi soundbar mı,kulaklık,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-sib-27-dev-027,blender mı el blender mi,kahve makinesi,blender,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-sib-29-dev-029,kanepe mi berjer mi,mobilya,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-sib-31-dev-031,laptop mu ultrabook mu,laptop,laptop|ultrabook,,,False,False,True,False,False,MODEL_OVER_EXTRACT,,,
case-hard-typo-01-dev-001,telfon almak istiyorum,telefon,telefon,,,False,False,True,False,False,,,,
case-hard-typo-02-dev-002,cep telefno bakıyorum,telefon,telefon,,,False,False,True,False,False,,,,
case-hard-typo-03-dev-003,akıllı telfon lazım,telefon,akıllı telefon,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-04-val-004,laptp almak istiyorum,laptop,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-typo-05-dev-005,dızüstü bakıyorum,laptop,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-typo-06-dev-006,notbook lazım,laptop,notbook,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-07-dev-007,dızustu bılgısayar arıyorum,laptop,laptop,,,False,False,True,False,False,,,,
case-hard-typo-09-dev-009,buzdolabi almak istiyorum,beyaz eşya,buzdolabı,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-10-dev-010,camasır makınesi arıyorum,beyaz eşya,camasır makınesi,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-11-dev-011,bulaşk makinesi,beyaz eşya,makine,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-13-dev-013,dogal ahsap gardırop,mobilya,ahşap,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-14-dev-014,supurge alacağım,süpürge,supurge,,,False,False,True,False,False,,,,
case-hard-typo-15-dev-015,supurge modellerine bakıyorum,süpürge,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-typo-17-dev-017,iphon aliyorum,telefon,telefon,,,False,False,True,False,False,,,,
case-hard-typo-18-dev-018,kahv makinesi lazım,kahve makinesi,kahve makinesi,,,False,False,True,False,False,,,,
case-hard-typo-19-dev-019,airfyer önerin,kahve makinesi,airfryer,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-21-dev-021,kulak lık bakıyorum,kulaklık,kulaklık,,,False,False,True,False,False,,,,
case-hard-typo-22-dev-022,televzyon almak istiyorum,televizyon,televzyon,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-23-dev-023,smart t v arıyorum,televizyon,televizyon,,,False,False,True,False,False,,,,
case-hard-typo-25-dev-025,bısıklet arıyorum,bisiklet,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-typo-26-dev-026,bisklet önerin,bisiklet,bisiklet,,,False,False,True,False,False,,,,
case-hard-typo-27-dev-027,gopr bakıyorum,kamera,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-typo-29-dev-029,fıtnes bileklik,akıllı saat,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-typo-30-dev-030,cam maşır makinesi,beyaz eşya,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-typo-31-dev-031,bulaşk maıknesi,beyaz eşya,bulaşık makinesi,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-33-dev-033,kanepee önerin,mobilya,kanepe,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-hard-typo-34-dev-034,kliima nöeri,klima,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-hard-nom-02-dev-002,hesabımdaki son işlemi görebilir miyim,,,,,False,False,True,False,False,,,,
case-hard-nom-04-dev-004,otel rezervasyonu yapmak istiyorum,,,,,False,False,True,False,False,,,,
case-hard-nom-06-dev-006,kredi kartı taksitlerini nasıl kapatırım,,,,,False,False,True,False,False,,,,
case-acc-nm-007-dev-007,bugün cumartesi mi,,,,,False,False,True,False,False,,,,
case-acc-nm-014-dev-014,ödevimi bitirdim,,,,,False,False,True,False,False,,,,
case-acc-nm-021-dev-021,kim bu genç,,,,,False,False,True,False,False,,,,
case-acc-nm-028-dev-028,annemi arayacağım hatırlat,,,,,False,False,True,False,False,,,,
case-acc-nm-035-dev-035,egzersiz için ne önerirsin,,,,,False,False,True,False,False,,,,
case-acc-nm-042-dev-042,kredim onaylandı mı,,,,,False,False,True,False,False,,,,
case-acc-nm-049-dev-049,çek yazmak istiyorum,,,,,False,False,True,False,False,,,,
case-acc-nm-056-dev-056,son üç maaşımı gösterir misin,,,,,False,False,True,False,False,,,,
case-acc-nm-063-dev-063,araba muayenesi ne kadar,,,,,False,False,True,False,False,,,,
case-acc-nm-070-dev-070,indirim ne zaman başlar,,,,,False,False,True,False,False,,,,
case-acc-nm-077-dev-077,gitar dersi almak istiyorum,,gitar,,,False,False,True,False,False,MODEL_OVER_EXTRACT,,,
case-acc-nm-084-dev-084,dizi önerir misin,,,,,False,False,True,False,False,,,,
case-acc-oos-006-dev-006,balayı için tatil paketi,,,,,False,False,True,False,False,,,,
case-acc-oos-012-dev-012,tatil kredisi almak istiyorum,,kredi,,,False,False,True,False,False,MODEL_OVER_EXTRACT,,,
case-acc-oos-018-dev-018,erken rezervasyon indirimi,,indirim,,,False,False,True,False,False,MODEL_OVER_EXTRACT,,,
case-acc-oos-024-dev-024,araç kiralama seyahat için,,araç kiralama,,,False,False,True,False,False,MODEL_OVER_EXTRACT,,,
case-acc-oos-030-dev-030,otel puanı biriktirme,,,,,False,False,True,False,False,,,,
case-acc-mis-003-dev-003,çamaşır kaldırma sepeti,mobilya,çamaşır kaldırma sepeti,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-acc-mis-006-dev-006,telefon rehberim silinmiş,,,,,False,False,True,False,False,,,,
case-acc-mis-009-dev-009,cebimde para yok telefon istemem,,telefon,,oyun,False,False,True,False,False,MODEL_OVER_EXTRACT,,NEG_SIMPLE,
case-acc-mis-012-dev-012,laptop çantam patladı,,,,,False,False,True,False,False,,,,
case-acc-mis-015-dev-015,televizyon programı yorumları,,,,,False,False,True,False,False,,,,
case-acc-mis-018-dev-018,mobil uygulama açılmıyor,,,,,False,False,True,False,False,,,,
case-acc-mis-021-dev-021,süpürge torbası kayboldu,,süpürge torbası,,,False,False,True,False,False,MODEL_OVER_EXTRACT,,,
case-acc-mis-024-dev-024,kamera yönetmenliği kursu,,,,,False,False,True,False,False,,,,
case-acc-mis-027-dev-027,apple watch ekranı çatladı tamir,,apple watch,,,False,False,True,False,False,MODEL_OVER_EXTRACT,,,
case-acc-mis-030-dev-030,robot süpürgeye ne dersiniz eleştirisi,,,,,False,False,True,False,False,,,,
case-acc-mnc-002-dev-002,bilgisayar mı tablet mi öğrenci için,bilgisayar|tablet,laptop|tablet,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-acc-mnc-004-dev-004,kulaklık mı ses sistemi mi almalıyım,kulaklık,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-acc-mnc-006-dev-006,konsol mu tablet mi çocuğa,oyun konsolu|tablet,konsol|tablet,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-acc-mnc-008-dev-008,kanepe mi koltuk mu,mobilya,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-acc-mnc-010-dev-010,hem beyaz eşya hem mobilya lazım,beyaz eşya|mobilya,beyaz eşya,,,False,False,True,False,False,MODEL_POS_MISS,,,
case-acc-mnc-012-dev-012,kamera mı telefon kamerası mı,kamera|telefon,kamera,,,False,False,True,False,False,MODEL_POS_MISS,,,
case-acc-mnc-014-dev-014,smart tv mi ekran mı,televizyon,televizyon,,,False,False,True,False,False,,,,
case-acc-mnc-016-dev-016,hoparlör mü soundbar mı,kulaklık,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-acc-mnc-018-dev-018,dslr mı aynasız mı,kamera,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-acc-mnc-020-dev-020,split klima mı inverter mi,klima,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-acc-mnc-022-dev-022,hem klima hem buzdolabı bakıyorum,klima|beyaz eşya,klima,,,False,False,True,False,False,MODEL_POS_MISS,,,
case-acc-mnc-024-dev-024,dikey mi robot süpürge mi,süpürge,süpürge,,,False,False,True,False,False,,,,
case-acc-mnc-026-dev-026,tablet mi ipad mi,tablet,,,,False,False,True,False,False,MODEL_EMPTY,MODEL_POS_MISS,,
case-acc-mnc-028-dev-028,gopro mu dslr mı seyahat için,kamera,kamera,,,False,False,True,False,False,,,,
case-acc-mnc-030-dev-030,konsol mu tv mi önce,oyun konsolu|televizyon,konsol|televizyon,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-acc-mnc-032-dev-032,laptop mu tablet mi seyahatte,laptop|tablet,laptop,,,False,False,True,False,False,MODEL_POS_MISS,,,
case-acc-exc-002-dev-002,laptop değil kesinlikle masaüstü,masaüstü,masaüstü,laptop,laptop,False,False,True,False,False,,,CORRECTION_X_NOT_Y,
case-acc-exc-004-dev-004,konsol istemiyorum sadece bilgisayar oyunu için laptop,laptop,laptop,oyun konsolu,konsol,False,False,True,False,False,MODEL_NEG_MISS,MODEL_OVER_EXTRACT,NEG_SIMPLE,
case-acc-exc-006-dev-006,beyaz eşya istemiyorum sadece mobilya,mobilya,mobilya,beyaz eşya,,False,False,True,False,False,MODEL_NEG_MISS,,NEG_SIMPLE,
case-acc-exc-008-dev-008,saat istemiyorum bileklik yeter,akıllı saat,akıllı saat,,saat,False,False,True,False,False,MODEL_OVER_EXTRACT,,NEG_SIMPLE,
case-acc-exc-010-dev-010,bisiklet istemiyorum e-bike da olur,bisiklet,bisiklet,,bisiklet,False,False,True,False,True,MODEL_CONFLICT,MODEL_OVER_EXTRACT,NEG_SIMPLE,
case-acc-exc-012-dev-012,robot süpürge istemiyorum dikey olsun,süpürge,süpürge,,robot,False,False,True,False,False,MODEL_OVER_EXTRACT,,NEG_SIMPLE,
case-acc-exc-014-dev-014,smart tv istemiyorum sadece görüntü,televizyon,tv,,smart tv,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,NEG_SIMPLE,
case-acc-exc-016-dev-016,kahve makinesi istemiyorum blender lazım,kahve makinesi,kahve makinesi,,,False,False,True,False,False,,,NEG_SIMPLE,
case-acc-exc-018-dev-018,apple watch istemiyorum fitness bileklik,akıllı saat,akıllı saat,,apple watch,False,False,True,False,False,MODEL_OVER_EXTRACT,,NEG_SIMPLE,
case-acc-exc-020-dev-020,çamaşır makinesi istemiyorum bulaşık makinesi,beyaz eşya,beyaz eşya,,çamaşır makinesi,False,False,True,False,False,MODEL_OVER_EXTRACT,,NEG_SIMPLE,
case-acc-exc-022-dev-022,tv istemem laptop olsun,laptop,laptop,televizyon,tv,False,False,True,False,False,MODEL_NEG_MISS,MODEL_OVER_EXTRACT,NEG_SIMPLE,
case-acc-exc-024-dev-024,laptop istemem tablet olsun,tablet,tablet,laptop,laptop,False,False,True,False,False,,,NEG_SIMPLE,
case-acc-exc-026-dev-026,bilgisayar istemem telefon yeter,telefon,telefon,bilgisayar,bilgisayar,False,False,True,False,False,,,NEG_SIMPLE,
case-adr008-morph-01-val-001,masaüstü bilgisayar almalıyım,masaüstü,masaüstü bilgisayar,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
case-adr008-morph-02-val-002,ses sistemi lazım,ses sistemi,ses sistemi,,,False,False,True,False,False,,,,
case-adr008-tok-01-val-003,sistemi ses lazım,ses sistemi,ses,,,False,False,True,False,False,MODEL_POS_MISS,MODEL_OVER_EXTRACT,,
